atm_id,bank_name,latitude,longitude,city_zone,is_high_risk_area
ATM_0001,State Bank of India,19.115737,72.866639,Zone_North,0
ATM_0002,HDFC Bank,19.127815,72.999542,Zone_South,0
ATM_0003,Bank of Baroda,19.057268,72.858969,Zone_North,0
ATM_0004,State Bank of India,19.202337,72.939095,Zone_North,0
ATM_0005,Bank of Baroda,19.038442,72.921105,Zone_Central,0
ATM_0006,Bank of Baroda,19.038927,72.840442,Zone_West,1
ATM_0007,State Bank of India,19.095357,72.724638,Zone_South,0
ATM_0008,ICICI Bank,18.938007,72.832717,Zone_East,1
ATM_0009,State Bank of India,18.994974,72.90284,Zone_North,0
ATM_0010,ICICI Bank,19.003358,72.764716,Zone_East,0
ATM_0011,State Bank of India,19.193252,72.859638,Zone_West,0
ATM_0012,Axis Bank,19.081402,72.76372,Zone_North,0
ATM_0013,Bank of Baroda,19.032449,72.886574,Zone_East,0
ATM_0014,State Bank of India,18.983921,72.907756,Zone_North,0
ATM_0015,ICICI Bank,19.027949,72.854365,Zone_North,0
ATM_0016,State Bank of India,19.027863,73.025882,Zone_West,0
ATM_0017,ICICI Bank,19.07492,72.793083,Zone_South,0
ATM_0018,HDFC Bank,19.141804,72.780033,Zone_East,0
ATM_0019,State Bank of India,19.092709,72.720926,Zone_Central,0
ATM_0020,Bank of Baroda,18.969745,72.893449,Zone_South,1
ATM_0021,ICICI Bank,19.135077,72.891409,Zone_Central,1
ATM_0022,State Bank of India,19.066748,72.853612,Zone_South,0
ATM_0023,ICICI Bank,18.957718,72.820112,Zone_West,0
ATM_0024,HDFC Bank,19.039149,72.96227,Zone_Central,0
ATM_0025,ICICI Bank,19.103489,72.736657,Zone_South,0
ATM_0026,Axis Bank,19.101927,72.846893,Zone_West,0
ATM_0027,HDFC Bank,19.021846,72.926634,Zone_Central,0
ATM_0028,Bank of Baroda,19.15848,72.952202,Zone_West,0
ATM_0029,Axis Bank,19.008863,72.852963,Zone_East,0
ATM_0030,Bank of Baroda,19.102501,72.955744,Zone_West,0
ATM_0031,State Bank of India,19.037666,72.862847,Zone_South,0
ATM_0032,Axis Bank,18.987493,72.782003,Zone_Central,1
ATM_0033,Bank of Baroda,19.141002,72.986199,Zone_West,0
ATM_0034,Bank of Baroda,19.070239,72.957983,Zone_North,0
ATM_0035,State Bank of India,19.104931,72.82609,Zone_Central,0
ATM_0036,ICICI Bank,19.104912,73.000743,Zone_North,0
ATM_0037,HDFC Bank,19.073134,73.002871,Zone_West,1
ATM_0038,Bank of Baroda,18.86642,72.943452,Zone_South,0
ATM_0039,State Bank of India,19.082964,72.853779,Zone_East,0
ATM_0040,Bank of Baroda,19.083341,72.718694,Zone_Central,1
ATM_0041,HDFC Bank,19.058426,72.906269,Zone_Central,0
ATM_0042,Bank of Baroda,19.194232,72.836238,Zone_North,0
ATM_0043,Axis Bank,19.011321,72.837559,Zone_North,1
ATM_0044,ICICI Bank,19.149232,72.904,Zone_South,0
ATM_0045,State Bank of India,19.033619,72.918761,Zone_West,0
ATM_0046,Bank of Baroda,19.083766,72.955192,Zone_South,1
ATM_0047,Bank of Baroda,19.019836,72.851487,Zone_South,0
ATM_0048,Bank of Baroda,19.044631,72.760619,Zone_West,0
ATM_0049,Bank of Baroda,19.09969,72.898584,Zone_South,0
ATM_0050,Axis Bank,19.076409,72.858933,Zone_East,0
ATM_0051,Bank of Baroda,18.96277,72.844048,Zone_West,0
ATM_0052,State Bank of India,19.048583,72.813518,Zone_East,0
ATM_0053,Bank of Baroda,19.063097,72.910024,Zone_South,0
ATM_0054,HDFC Bank,19.226895,72.891666,Zone_North,0
ATM_0055,ICICI Bank,19.096604,72.871744,Zone_North,0
ATM_0056,ICICI Bank,18.922498,72.875579,Zone_West,0
ATM_0057,Bank of Baroda,19.080818,73.074759,Zone_Central,0
ATM_0058,Axis Bank,19.060611,72.901824,Zone_West,0
ATM_0059,Axis Bank,19.073223,72.784206,Zone_East,0
ATM_0060,Axis Bank,19.167426,72.937855,Zone_North,0
ATM_0061,State Bank of India,19.139283,72.804949,Zone_North,0
ATM_0062,ICICI Bank,19.188224,72.765552,Zone_North,0
ATM_0063,Bank of Baroda,19.122949,73.052936,Zone_West,0
