complaint_id,timestamp,fraud_type,amount_lost,mule_account_id
CMP_00001,2026-08-06 11:43:15,Part-time Job Scam,25000,MULE_ACC_5499
CMP_00002,2026-07-25 07:00:15,Investment Scam,200000,MULE_ACC_2320
CMP_00003,2026-07-16 22:29:15,Loan App Extortion,100000,MULE_ACC_6421
CMP_00004,2026-07-28 14:47:15,Part-time Job Scam,15000,MULE_ACC_7232
CMP_00005,2026-08-27 09:37:15,Loan App Extortion,500000,MULE_ACC_9947
CMP_00006,2026-08-03 20:27:15,Investment Scam,50000,MULE_ACC_7624
CMP_00007,2026-08-31 08:40:15,UPI Phishing,200000,MULE_ACC_1444
CMP_00008,2026-07-07 04:27:15,Part-time Job Scam,50000,MULE_ACC_4467
CMP_00009,2026-08-21 09:19:15,UPI Phishing,15000,MULE_ACC_8705
CMP_00010,2026-08-13 22:52:15,UPI Phishing,500000,MULE_ACC_1659
CMP_00011,2026-07-13 03:11:15,Loan App Extortion,100000,MULE_ACC_2874
CMP_00012,2026-07-14 15:41:15,Investment Scam,500000,MULE_ACC_2876
CMP_00013,2026-08-09 18:01:15,Investment Scam,100000,MULE_ACC_7498
CMP_00014,2026-07-10 18:52:15,Loan App Extortion,50000,MULE_ACC_2983
CMP_00015,2026-07-26 22:35:15,UPI Phishing,500000,MULE_ACC_6590
CMP_00016,2026-07-27 17:00:15,Part-time Job Scam,100000,MULE_ACC_3506
CMP_00017,2026-08-24 13:52:15,Part-time Job Scam,100000,MULE_ACC_8616
CMP_00018,2026-07-21 10:18:15,Credit Card Fraud,100000,MULE_ACC_7209
CMP_00019,2026-08-04 02:25:15,Credit Card Fraud,50000,MULE_ACC_6576
CMP_00020,2026-07-04 12:15:15,Part-time Job Scam,15000,MULE_ACC_4954
CMP_00021,2026-08-03 16:48:15,UPI Phishing,100000,MULE_ACC_8342
CMP_00022,2026-07-19 05:45:15,Part-time Job Scam,200000,MULE_ACC_7046
CMP_00023,2026-08-08 06:25:15,Credit Card Fraud,500000,MULE_ACC_8434
CMP_00024,2026-07-16 06:10:15,Investment Scam,500000,MULE_ACC_9779
CMP_00025,2026-08-19 14:51:15,UPI Phishing,200000,MULE_ACC_5636
CMP_00026,2026-07-22 20:48:15,Credit Card Fraud,200000,MULE_ACC_3073
CMP_00027,2026-08-17 00:43:15,UPI Phishing,100000,MULE_ACC_2680
CMP_00028,2026-07-25 01:06:15,UPI Phishing,50000,MULE_ACC_8827
CMP_00029,2026-08-13 17:06:15,Loan App Extortion,25000,MULE_ACC_3444
CMP_00030,2026-08-08 09:41:15,Loan App Extortion,200000,MULE_ACC_4697
CMP_00031,2026-08-28 14:30:15,Loan App Extortion,50000,MULE_ACC_1986
CMP_00032,2026-07-17 04:45:15,Investment Scam,15000,MULE_ACC_3573
CMP_00033,2026-07-30 10:47:15,Credit Card Fraud,200000,MULE_ACC_8699
CMP_00034,2026-08-28 10:07:15,Credit Card Fraud,500000,MULE_ACC_4824
CMP_00035,2026-07-11 13:17:15,Credit Card Fraud,500000,MULE_ACC_3441
CMP_00036,2026-08-11 19:55:15,Part-time Job Scam,200000,MULE_ACC_5728
CMP_00037,2026-07-29 04:35:15,Part-time Job Scam,200000,MULE_ACC_9090
CMP_00038,2026-07-24 15:19:15,Investment Scam,15000,MULE_ACC_2496
CMP_00039,2026-08-25 04:39:15,Part-time Job Scam,15000,MULE_ACC_3870
CMP_00040,2026-08-10 09:43:15,Part-time Job Scam,100000,MULE_ACC_2494
CMP_00041,2026-07-10 01:24:15,Credit Card Fraud,100000,MULE_ACC_9117
CMP_00042,2026-08-01 22:23:15,UPI Phishing,50000,MULE_ACC_6296
CMP_00043,2026-08-28 13:32:15,Investment Scam,100000,MULE_ACC_1888
CMP_00044,2026-07-31 21:16:15,Investment Scam,50000,MULE_ACC_9998
CMP_00045,2026-07-05 16:41:15,Credit Card Fraud,25000,MULE_ACC_3594
CMP_00046,2026-07-17 23:32:15,Part-time Job Scam,15000,MULE_ACC_3522
CMP_00047,2026-08-26 11:33:15,Loan App Extortion,25000,MULE_ACC_8483
CMP_00048,2026-08-20 00:58:15,Part-time Job Scam,15000,MULE_ACC_5526
CMP_00049,2026-08-24 20:21:15,Loan App Extortion,500000,MULE_ACC_5891
CMP_00050,2026-08-01 13:33:15,Loan App Extortion,50000,MULE_ACC_6446
CMP_00051,2026-08-17 03:39:15,Part-time Job Scam,100000,MULE_ACC_4826
CMP_00052,2026-08-31 08:27:15,Part-time Job Scam,500000,MULE_ACC_3492
CMP_00053,2026-08-27 23:58:15,Loan App Extortion,100000,MULE_ACC_2633
CMP_00054,2026-08-28 16:12:15,Credit Card Fraud,15000,MULE_ACC_8692
CMP_00055,2026-07-09 06:57:15,Part-time Job Scam,500000,MULE_ACC_9742
CMP_00056,2026-07-06 15:07:15,Investment Scam,25000,MULE_ACC_5708
CMP_00057,2026-08-17 23:31:15,UPI Phishing,25000,MULE_ACC_5906
CMP_00058,2026-07-26 07:30:15,Loan App Extortion,25000,MULE_ACC_5000
CMP_00059,2026-07-14 22:42:15,Part-time Job Scam,100000,MULE_ACC_4945
CMP_00060,2026-07-20 10:19:15,Part-time Job Scam,500000,MULE_ACC_1153
CMP_00061,2026-08-01 07:40:15,Credit Card Fraud,50000,MULE_ACC_7951
CMP_00062,2026-08-27 11:09:15,Loan App Extortion,25000,MULE_ACC_7248
CMP_00063,2026-08-26 17:28:15,Loan App Extortion,50000,MULE_ACC_1132
CMP_00064,2026-08-22 03:41:15,Investment Scam,50000,MULE_ACC_4588
CMP_00065,2026-08-26 00:43:15,Credit Card Fraud,15000,MULE_ACC_1645
CMP_00066,2026-07-11 23:01:15,Part-time Job Scam,50000,MULE_ACC_6352
CMP_00067,2026-08-06 13:01:15,Credit Card Fraud,50000,MULE_ACC_3695
CMP_00068,2026-08-28 06:54:15,UPI Phishing,15000,MULE_ACC_8673
CMP_00069,2026-08-19 17:28:15,UPI Phishing,200000,MULE_ACC_6992
CMP_00070,2026-08-02 07:46:15,Loan App Extortion,500000,MULE_ACC_5295
