tx_id,complaint_id,mule_account_id,tx_timestamp,withdrawal_atm_id,amount_withdrawn,time_to_cashout_mins
TX_000001,CMP_00001,MULE_ACC_5499,2026-08-06 12:22:15,ATM_0061,25000,39
TX_000002,CMP_00002,MULE_ACC_2320,2026-07-25 07:58:15,ATM_0032,50000,58
TX_000003,CMP_00003,MULE_ACC_6421,2026-07-17 00:48:15,ATM_0040,40000,139
TX_000004,CMP_00004,MULE_ACC_7232,2026-07-28 15:08:15,ATM_0077,15000,21
TX_000005,CMP_00005,MULE_ACC_9947,2026-08-27 10:53:15,ATM_0046,40000,76
TX_000006,CMP_00006,MULE_ACC_7624,2026-08-03 22:46:15,ATM_0137,20000,139
TX_000007,CMP_00007,MULE_ACC_1444,2026-08-31 10:49:15,ATM_0095,20000,129
TX_000008,CMP_00008,MULE_ACC_4467,2026-07-07 06:10:15,ATM_0085,40000,103
TX_000009,CMP_00009,MULE_ACC_8705,2026-08-21 11:57:15,ATM_0080,15000,158
TX_000010,CMP_00010,MULE_ACC_1659,2026-08-14 00:15:15,ATM_0006,50000,83
TX_000011,CMP_00011,MULE_ACC_2874,2026-07-13 04:26:15,ATM_0046,40000,75
TX_000012,CMP_00012,MULE_ACC_2876,2026-07-14 17:20:15,ATM_0006,40000,99
TX_000013,CMP_00013,MULE_ACC_7498,2026-08-09 18:40:15,ATM_0137,20000,39
TX_000014,CMP_00014,MULE_ACC_2983,2026-07-10 19:22:15,ATM_0092,50000,30
TX_000015,CMP_00015,MULE_ACC_6590,2026-07-27 00:42:15,ATM_0028,40000,127
TX_000016,CMP_00016,MULE_ACC_3506,2026-07-27 18:05:15,ATM_0070,50000,65
TX_000017,CMP_00017,MULE_ACC_8616,2026-08-24 16:43:15,ATM_0043,20000,171
TX_000018,CMP_00018,MULE_ACC_7209,2026-07-21 10:45:15,ATM_0071,20000,27
TX_000019,CMP_00019,MULE_ACC_6576,2026-08-04 05:17:15,ATM_0071,50000,172
TX_000020,CMP_00020,MULE_ACC_4954,2026-07-04 14:40:15,ATM_0043,15000,145
TX_000021,CMP_00021,MULE_ACC_8342,2026-08-03 17:31:15,ATM_0085,50000,43
TX_000022,CMP_00022,MULE_ACC_7046,2026-07-19 08:26:15,ATM_0092,50000,161
TX_000023,CMP_00023,MULE_ACC_8434,2026-08-08 08:03:15,ATM_0021,50000,98
TX_000024,CMP_00024,MULE_ACC_9779,2026-07-16 07:19:15,ATM_0100,40000,69
TX_000025,CMP_00025,MULE_ACC_5636,2026-08-19 16:00:15,ATM_0080,20000,69
TX_000026,CMP_00026,MULE_ACC_3073,2026-07-22 21:19:15,ATM_0142,40000,31
TX_000027,CMP_00027,MULE_ACC_2680,2026-08-17 03:29:15,ATM_0100,40000,166
TX_000028,CMP_00028,MULE_ACC_8827,2026-07-25 01:42:15,ATM_0020,50000,36
TX_000029,CMP_00029,MULE_ACC_3444,2026-08-13 18:43:15,ATM_0043,20000,97
TX_000030,CMP_00030,MULE_ACC_4697,2026-08-08 11:38:15,ATM_0095,40000,117
TX_000031,CMP_00031,MULE_ACC_1986,2026-08-28 15:15:15,ATM_0054,50000,45
TX_000032,CMP_00032,MULE_ACC_3573,2026-07-17 05:49:15,ATM_0037,15000,64
TX_000033,CMP_00033,MULE_ACC_8699,2026-07-30 11:15:15,ATM_0066,50000,28
TX_000034,CMP_00034,MULE_ACC_4824,2026-08-28 13:07:15,ATM_0040,40000,180
TX_000035,CMP_00035,MULE_ACC_3441,2026-07-11 14:13:15,ATM_0037,40000,56
TX_000036,CMP_00036,MULE_ACC_5728,2026-08-11 20:46:15,ATM_0066,50000,51
TX_000037,CMP_00037,MULE_ACC_9090,2026-07-29 05:15:15,ATM_0092,50000,40
TX_000038,CMP_00038,MULE_ACC_2496,2026-07-24 18:06:15,ATM_0006,15000,167
TX_000039,CMP_00039,MULE_ACC_3870,2026-08-25 07:11:15,ATM_0072,15000,152
TX_000040,CMP_00040,MULE_ACC_2494,2026-08-10 11:32:15,ATM_0071,50000,109
TX_000041,CMP_00041,MULE_ACC_9117,2026-07-10 03:26:15,ATM_0141,20000,122
TX_000042,CMP_00042,MULE_ACC_6296,2026-08-02 00:26:15,ATM_0001,50000,123
TX_000043,CMP_00043,MULE_ACC_1888,2026-08-28 16:04:15,ATM_0100,50000,152
